trainsize, units, mse, avg_error
16,2,0.2615016932999683,0.4543722257949412
16,4,0.28909652353440085,0.42860701167955995
16,8,0.22953819874326642,0.30669141188263893
32,2,0.22846050798211415,0.3553012521006167
32,4,0.28949905186222313,0.422387836035341
32,8,0.23706538169738628,0.36613218765705824
64,2,0.22872834961123378,0.450583781581372
64,4,0.14674773239671568,0.2918144422583282
64,8,0.17834992342050826,0.32910321606323123
16,2,0.2410685540636254,0.40700552705675364
16,4,0.29543982024862503,0.41554364282637835
16,8,0.38176910641808215,0.4932047575712204
32,2,0.27930683235142983,0.4231600183993578
32,4,0.19777143901682176,0.3210420086979866
32,8,0.20363150853547812,0.37553375121206045
64,2,0.23005317996141372,0.4267571088857949
64,4,0.16757677186930267,0.3525807587429881
64,8,0.19650523268758674,0.3117623128928244
16,2,0.2487579017352268,0.4112457847222686
16,4,0.24176316099227302,0.3773507308214903
16,8,0.21004491852176443,0.3014847622253001
32,2,0.259396341064322,0.44392616814002395
32,4,0.22543107322547234,0.3648652909323573
32,8,0.3252602209947058,0.44392781564965844
64,2,0.22919848600134657,0.4045625338330865
64,4,0.22739528143200094,0.3791402392089367
64,8,0.21356035631267004,0.39550927467644215
16,2,0.1989472191283454,0.3932676506228745
16,4,0.20903627210054082,0.3953433418646455
16,8,0.3209990015464243,0.4127611918374896
32,2,0.25997530212726755,0.431072604842484
32,4,0.3024076875105275,0.43441650131717324
32,8,0.22334772700737554,0.31253350246697664
64,2,0.22562634926853956,0.4290057262405753
64,4,0.20662578207521512,0.40327273588627577
64,8,0.23423002833824058,0.38821265613660216
16,2,0.3376775398800976,0.4841081206686795
16,4,0.2763633287464917,0.39036690164357424
16,8,0.29642565308953817,0.41313251992687583
32,2,0.22963101003527972,0.4048630390316248
32,4,0.20015070556666661,0.3512259889394045
32,8,0.25847971770275663,0.3725479110144079
64,2,0.3035182204145115,0.49335215939208865
64,4,0.20331805792919844,0.3868151200003922
64,8,0.24213884333271818,0.3784274975769222
16,2,0.31973333402187365,0.38059554575011134
16,4,0.33379875129342684,0.4220053628087044
16,8,0.17555648083868158,0.3006615350022912
32,2,0.2877326792672239,0.47108199493959546
32,4,0.22090247442494038,0.38763477141037583
32,8,0.23782782181720102,0.31815083511173725
64,2,0.2145086779357126,0.4241849039681256
64,4,0.21870966848336576,0.3889790871180594
64,8,0.16999379177593954,0.2823612173087895
16,2,0.33208125510234665,0.4244739627465606
16,4,0.29338552082945285,0.3796703922562301
16,8,0.2264129622418194,0.39495556661859155
32,2,0.22140270029332434,0.4290090510621667
32,4,0.2438762798505537,0.38599690655246377
32,8,0.2464594515880208,0.40133826760575175
