trainsize, units, mse, avg_error
16,2,0.3159369385974323,0.4212706107646227
16,4,0.27133464453963807,0.35649518528953195
16,8,0.23120041522078122,0.37144449120387435
32,2,0.2466350818752723,0.42192698270082474
32,4,0.24924058867044643,0.40713816601783037
32,8,0.2925564239026144,0.4340413538739085
64,2,0.22454548900163848,0.4148009056225419
64,4,0.19872664454570105,0.38019359903410077
64,8,0.2277233523016194,0.44334882590919733
16,2,0.23682712844849357,0.44569768151268363
16,4,0.34598754034574314,0.5083293705247343
16,8,0.2926378177157032,0.426883062813431
32,2,0.22336462584122038,0.42379359947517514
32,4,0.23384572427224276,0.41566551802679896
32,8,0.1956309892486809,0.3639897503890097
64,2,0.23744980217248707,0.4397866246290505
64,4,0.21587354809086898,0.3954517524689436
64,8,0.13991756447856096,0.3018593224696815
16,2,0.24757702581577407,0.45999947749078274
16,4,0.24142716047062818,0.36563941976055503
16,8,0.46599673536195163,0.5331513499841094
32,2,0.22084299247152353,0.4417709866538644
32,4,0.18313856916842747,0.35701935878023505
32,8,0.25787865261454573,0.38380043068900704
64,2,0.226124276391113,0.42610573023557663
64,4,0.18496960799617806,0.38353758258745074
64,8,0.26025332938751367,0.38922021677717566
16,2,0.30466679476526093,0.4357921411283314
16,4,0.3396711150753333,0.4035988883115351
16,8,0.4040586348349332,0.49824600340798497
32,2,0.22129861774708187,0.38308942411094904
32,4,0.2403024477191153,0.3896214119158685
32,8,0.2494752777692122,0.4566763839684427
64,2,0.2073748623609739,0.4141560737043619
64,4,0.20163395752131924,0.39366271859034896
64,8,0.19274318527518688,0.3238760083913803
16,2,0.3440120177805912,0.4783578054048121
16,4,0.27389812744386743,0.46547009376809
16,8,0.294402830582058,0.4260514792986214
32,2,0.226336279760169,0.46302698738873005
32,4,0.2364540829920066,0.4214698299765587
32,8,0.21895945566455033,0.35713521344587207
64,2,0.22065354719777736,0.39994408609345555
64,4,0.20005462615148353,0.3514595218002796
64,8,0.2331282336323258,0.3691658340394497
16,2,0.2836033152244314,0.4199988800100982
16,4,0.24099233788957353,0.28471532464027405
16,8,0.32014179448421176,0.3876475743018091
32,2,0.23224089445113633,0.42146171955391765
32,4,0.18549677407434428,0.32207529386505485
32,8,0.27820289316114444,0.43743712874129415
64,2,0.18874836858233307,0.39191208919510245
64,4,0.20998841237321814,0.4139501820318401
64,8,0.20276592552832354,0.3998826239258051
16,2,0.30315682257052395,0.5039008315652609
16,4,0.36277569695419565,0.4381222166121006
16,8,0.393836345123816,0.484282411634922
32,2,0.261642299448991,0.422698687762022
32,4,0.19412191225320352,0.3733882154338062
32,8,0.2792256414266134,0.36939107812941074
64,2,0.22320751129366562,0.4381511379033327
64,4,0.19086643315297816,0.3443498183041811
64,8,0.2396745021282578,0.3977068169042468
16,2,0.30057977294811145,0.4858114803209901
16,4,0.29636298981315784,0.3425566256046295
16,8,0.3178429063491104,0.35717479046434164
32,2,0.23659217180918235,0.44627662608399987
32,4,0.21219361417653826,0.36350603913888335
32,8,0.29811042736964066,0.393984351772815
64,2,0.21712505016418926,0.4447242715395987
64,4,0.24685234514256793,0.4320100783370435
64,8,0.2094364749458264,0.33893084479495883
16,2,0.3852529046766001,0.5307617704384029
16,4,0.3312487376655251,0.40118264174088836
16,8,0.19882403304686028,0.33840705268085003
32,2,0.19113545708047008,0.35402390407398343
32,4,0.3562607280844445,0.44832061836495996
32,8,0.16875721976094007,0.3548323791474104
64,2,0.22005691644889974,0.4372806674800813
64,4,0.239832108147321,0.4395463247783482
64,8,0.18835254940089852,0.37212586123496294
16,2,0.26526381301997615,0.45537523785606027
16,4,0.2355585067950327,0.37517657736316323
16,8,0.2997543855748958,0.3965381355956197
32,2,0.22642017585251795,0.44108024006709456
32,4,0.2127053284659467,0.3535288190469146
32,8,0.24456521807819465,0.4344328376464546
64,2,0.2205951027670132,0.42368376161903143
64,4,0.2247973144084415,0.3349164044484496
64,8,0.1836513473201027,0.35019746655598283
16,2,0.19544759989611968,0.405164010822773
16,4,0.2253132715535861,0.3471016865223646
16,8,0.31721195944926117,0.4149785744957626
32,2,0.2377028390936621,0.4526555808261037
32,4,0.19942203659502375,0.3785745184868574
32,8,0.21482181074755533,0.3377417214214802
64,2,0.22117787041197928,0.4192755362018943
64,4,0.16389985920493488,0.32311861449852586
64,8,0.24891326645432527,0.3675883011892438
16,2,0.42964416906280933,0.5518773966468871
16,4,0.25693924284055303,0.36501003708690405
16,8,0.3181652197599449,0.4127006307244301
32,2,0.2840059888392178,0.48028343822807074
32,4,0.19463765489314672,0.28142419550567865
32,8,0.27846150135725234,0.38645442202687263
64,2,0.24397768334251432,0.492782567627728
64,4,0.18233355939364929,0.35248060896992683
64,8,0.13370155886857127,0.2564641567878425
16,2,0.22908791620905733,0.3249524678103626
16,4,0.2627808382803882,0.4227347429841757
16,8,0.299924874172517,0.38235922902822495
32,2,0.19713953679974672,0.36094498122110963
32,4,0.227743137865736,0.36245589330792427
32,8,0.17297572536692538,0.3003642549738288
64,2,0.21673226744921914,0.42688286444172263
64,4,0.24273762698837237,0.36154632130637765
64,8,0.22234774287739817,0.39252325566485524
16,2,0.24572333191806928,0.4078886299394071
16,4,0.301746159794436,0.4407035172916949
16,8,0.29460576381447057,0.4254839872010052
32,2,0.242910609003395,0.44019927410408854
32,4,0.25467844044151,0.38631282467395067
32,8,0.21349618559991151,0.4320464599877596
64,2,0.22680056288056596,0.43937194533646107
64,4,0.21670168737572626,0.41110280342400074
64,8,0.18055022766922918,0.36845910595729947
16,2,0.2823547387452339,0.36412059096619487
16,4,0.29657477422422013,0.46148408064618707
16,8,0.2844676413789874,0.42817678954452276
32,2,0.30552165834419964,0.474282072391361
32,4,0.29451403402312243,0.37602424900978804
32,8,0.29709825965640746,0.43701520236209035
64,2,0.24640995094244933,0.4949097870849073
64,4,0.22370841984784973,0.38448617374524474
64,8,0.23266449345745388,0.4167572082951665
16,2,0.2833819252510074,0.45007890462875366
16,4,0.2383487231951831,0.3022417821921408
16,8,0.25568585579329517,0.3360835355706513
32,2,0.24153250988443098,0.4386053690686822
32,4,0.22713840708954214,0.3420668444596231
32,8,0.191587833243125,0.3363794572651386
64,2,0.257033123441079,0.4853794318623841
64,4,0.2009953655013092,0.39113255543634295
64,8,0.22673192082379268,0.3663769634440541
16,2,0.2642163709414972,0.4649493000470102
16,4,0.25489772941086547,0.4356369702145457
16,8,0.3239644989261762,0.3852370334789157
32,2,0.18950246639996,0.38900059973821044
32,4,0.1801703967906399,0.3517277077771723
32,8,0.2150584094202599,0.36585706286132336
64,2,0.24948413183531246,0.47040497325360775
64,4,0.16747636989739115,0.3314857743680477
64,8,0.23004846686485447,0.4087827857583761
16,2,0.2665401602937158,0.43209367617964745
16,4,0.2635212458072883,0.37175652338191867
16,8,0.34946471578489735,0.3954952899366617
32,2,0.22456824087208105,0.45743642607703805
32,4,0.30076620993105374,0.41538451006636024
32,8,0.25722952098797414,0.3492945465259254
64,2,0.24921306810290997,0.3985909470357001
64,4,0.17976734055877386,0.3621015795506537
64,8,0.2367226979617224,0.40120180509984493
16,2,0.26074237813472007,0.4422375401481986
16,4,0.30844857346802884,0.378427229821682
16,8,0.3173434576175648,0.42955018626526
32,2,0.2775322347997833,0.4125331658869982
32,4,0.2071368777679038,0.28521885350346565
32,8,0.2119232155447065,0.3609280278906226
64,2,0.20761990599160196,0.40816147392615676
64,4,0.18558870871618505,0.35579258808866143
64,8,0.2241388110696041,0.34631433011963964
16,2,0.24109664053472477,0.43019782891497016
16,4,0.27815652037207206,0.3811102593317628
16,8,0.23672351596327038,0.3902967134490609
32,2,0.26852025635249027,0.49035389022901654
32,4,0.21625727578556378,0.3579013189300895
32,8,0.19827146384496094,0.3258230248466134
64,2,0.265295873617133,0.4873828482814133
64,4,0.2351823791892956,0.4109592782333493
64,8,0.20397520939625657,0.3581247408874333
16,2,0.3021227868435727,0.4450667300261557
16,4,0.23185661398052393,0.3219319903291762
16,8,0.2393981974637247,0.36232635797932744
32,2,0.21555234804828138,0.4059403701685369
32,4,0.19214291347521523,0.35306775802746415
32,8,0.19494330967505813,0.3906196574680507
64,2,0.21221135165520338,0.44238420156762004
64,4,0.20702453307365057,0.38580899126827717
64,8,0.12492831321526737,0.2380415704101324
16,2,0.2610284805239149,0.41345579363405704
16,4,0.2695472934647664,0.41977148223668337
16,8,0.31168971305011145,0.39752975944429636
32,2,0.31278283851147126,0.4377811476588249
32,4,0.2371200901197685,0.3902913727797568
32,8,0.21833458743057682,0.36750988801941276
